Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
937241,KLM Axiva Finvest Limited,KAFLZC26A,KLM Axiva Finvest Ltd,Active,F ,1000.00,INE01I507299,Debentures and Bonds,,,,,
937273,MUTHOOT MCRED LIMITED,MMLZC27B,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q07789,Debentures and Bonds,,,,,
937287,Kosamattam Finance Limited,1025KFL27A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07BK8,Debentures and Bonds,,,,,
937289,Kosamattam Finance Limited,KFLZC27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07BL6,Debentures and Bonds,,,,,
937333,MUTHOOT MCRED LIMITED,MMLZC27C,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q07854,Debentures and Bonds,,,,,
937345,Edelweiss Financial Services Ltd.,953EFSL31,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07BP6,Debentures and Bonds,,,,,
937347,Edelweiss Financial Services Ltd.,995EFSL31,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07BQ4,Debentures and Bonds,,,,,
937367,Power Finance Corporation Ltd,663PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AK7,Debentures and Bonds,,,,,
937369,Power Finance Corporation Ltd,682PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AL5,Debentures and Bonds,,,,,
937371,Power Finance Corporation Ltd,68PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AM3,Debentures and Bonds,,,,,
937373,Power Finance Corporation Ltd,7PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AN1,Debentures and Bonds,,,,,
937375,Power Finance Corporation Ltd,658PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AO9,Debentures and Bonds,,,,,
937377,Power Finance Corporation Ltd,683PFCL31,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AP6,Debentures and Bonds,,,,,
937379,Power Finance Corporation Ltd,678PFCL36,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AQ4,Debentures and Bonds,,,,,
937381,Power Finance Corporation Ltd,697PFCL36,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AR2,Debentures and Bonds,,,,,
937383,Power Finance Corporation Ltd,695PFCL36,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AS0,Debentures and Bonds,,,,,
937385,Power Finance Corporation Ltd,715PFCL36,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07AT8,Debentures and Bonds,,,,,
937397,Kosamattam Finance Limited,KFLZC26,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07BR3,Debentures and Bonds,,,,,
937399,Kosamattam Finance Limited,1025KFL28,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08217,Debentures and Bonds,,,,,
937401,Kosamattam Finance Limited,KFLZC28,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08225,Debentures and Bonds,,,,,
937409,MUTHOOT FINCORP LIMITED,9MFL27,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K08178,Debentures and Bonds,,,,,
937411,MUTHOOT FINCORP LIMITED,94MFL27,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K08186,Debentures and Bonds,,,,,
937419,MUTHOOT FINCORP LIMITED,MFLZC27C,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K08194,Debentures and Bonds,,,,,
937429,MUTHOOT MCRED LIMITED,MMLZC26,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q07904,Debentures and Bonds,,,,,
937433,MUTHOOT MCRED LIMITED,MMLZC28,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q08126,Debentures and Bonds,,,,,
937441,MUTHOOT FINCORP LIMITED,9MFL27A,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K08202,Debentures and Bonds,,,,,
